"Microsoft Visual C++ 8"	57722
"VC8 -> Microsoft Corporation"	28828
"UPX -> www.upx.sourceforge.net"	19425
"UPX v3.0 (EXE_LZMA) -> Markus Oberhumer & Laszlo Molnar & John Reiser"	12069
"UPX 2.93 (LZMA)"	12065
"Borland Delphi 3.0"	15852
"Microsoft Visual C++ 7.0"	0
"Borland Delphi 4.0"	6840
"Dev-C++ 4.9.9.2 -> Bloodshed Software"	5616
"Borland Delphi v6.0 - v7.0"	5153
